carat,cut,color,clarity,depth,table,price
0.28,Good,E,VVS1,64.6,55.0,492
0.9,Very Good,G,VS2,59.6,61.0,4093
0.5,Good,G,IF,64.0,55.0,2081
1.0,Very Good,H,VVS1,63.5,60.0,6296
0.81,Very Good,E,SI1,59.5,60.0,2973
0.32,Ideal,G,VS1,61.6,55.0,665
0.4,Very Good,D,VS1,63.3,57.0,967
0.7,Very Good,H,SI2,63.1,55.0,1995
0.33,Ideal,E,VVS2,61.8,56.0,891
0.42,Premium,G,VS2,59.5,59.0,1087
0.55,Ideal,G,SI1,61.9,57.0,1605
0.26,Very Good,H,VVS2,62.4,58.0,468
1.0,Ideal,D,SI1,60.6,56.0,5880
0.43,Ideal,F,VVS1,61.0,56.0,1358
0.55,Ideal,H,SI2,62.6,56.0,1037
0.91,Good,I,VS2,58.0,62.0,3747
0.55,Ideal,I,SI2,60.4,56.0,1109
0.55,Ideal,G,SI1,61.3,56.0,1605
0.33,Premium,E,SI1,60.3,60.0,743
0.95,Premium,G,SI2,58.8,60.0,2937
0.53,Ideal,G,VS1,62.4,54.0,1659
0.3,Very Good,G,SI1,59.5,63.0,447
0.7,Very Good,F,SI1,62.4,56.0,2196
1.01,Very Good,H,SI2,63.5,58.0,4475
1.5,Good,H,VS2,63.9,59.0,8165
0.3,Very Good,G,VVS1,61.3,56.0,691
0.5,Ideal,G,IF,60.8,54.0,2287
1.01,Premium,G,VS2,60.9,55.0,5288
0.57,Ideal,H,SI1,61.3,54.0,1292
1.01,Ideal,F,SI2,60.4,59.0,5020
0.35,Ideal,F,VS1,62.4,57.0,788
0.24,Premium,D,VVS2,58.8,58.0,668
0.35,Premium,H,SI2,61.6,58.0,566
2.5,Ideal,J,SI2,64.0,55.0,14502
1.55,Premium,F,VS1,61.6,56.0,15801
0.93,Premium,F,SI1,58.8,60.0,4010
2.24,Premium,H,SI2,61.4,57.0,16656
0.34,Premium,G,SI1,59.7,59.0,650
0.3,Good,H,VS1,63.4,53.0,526
1.2,Very Good,G,VVS1,63.3,59.0,8928
1.2,Premium,G,SI2,60.2,60.0,5689
0.31,Ideal,F,IF,62.3,54.0,914
0.71,Ideal,D,VS2,63.0,56.0,3245
0.34,Premium,H,VS2,61.1,58.0,537
0.36,Very Good,F,SI1,60.7,54.0,641
1.14,Ideal,H,SI1,62.3,56.0,5501
1.41,Premium,H,VS2,62.0,58.0,8686
0.44,Ideal,D,VS1,62.3,55.0,1235
1.5,Premium,F,VS1,62.2,60.0,15851
0.51,Very Good,G,VS2,61.2,55.0,1397
0.83,Premium,E,SI2,59.2,60.0,2859
0.98,Premium,I,I1,59.6,60.0,2064
1.2,Very Good,H,VS2,63.3,59.0,6833
0.8,Ideal,G,VS2,62.1,56.0,2728
1.03,Premium,D,VVS2,60.1,58.0,11335
0.7,Very Good,E,VS1,62.4,56.0,2854
1.5,Ideal,I,VS1,61.3,57.0,10080
0.5,Good,F,VS2,60.9,64.0,1409
1.23,Very Good,F,VS1,60.8,58.0,10276
1.27,Premium,J,VS1,62.6,59.0,5618
1.39,Premium,G,VS2,62.0,56.0,8874
0.81,Ideal,G,SI2,62.2,57.0,2894
0.34,Ideal,D,VVS1,61.7,57.0,1133
0.9,Very Good,F,SI2,63.4,58.0,3556
1.01,Premium,I,SI2,62.1,59.0,3971
0.5,Premium,E,VS2,61.8,58.0,1746
1.07,Ideal,G,VVS2,62.3,54.0,8145
1.31,Premium,F,SI1,62.6,58.0,7625
2.04,Premium,G,SI2,61.3,60.0,12794
0.71,Ideal,F,VVS2,61.6,54.0,4167
0.75,Very Good,F,SI1,62.3,58.0,2573
0.71,Ideal,E,SI2,61.5,57.0,2470
1.31,Ideal,I,VS2,62.4,57.0,6338
1.06,Ideal,G,SI2,62.5,55.0,4238
2.03,Premium,I,SI1,61.2,58.0,16787
0.57,Premium,F,VS2,62.0,54.0,1760
1.26,Premium,F,SI1,62.3,58.0,6915
0.3,Ideal,I,IF,62.5,56.0,615
1.54,Premium,G,VS1,61.9,59.0,13609
1.0,Fair,G,I1,61.7,57.0,2723
0.42,Ideal,D,VS2,61.8,56.0,1103
2.17,Ideal,I,SI1,60.4,56.0,17381
1.0,Very Good,J,SI1,61.9,62.0,3465
0.28,Ideal,E,VVS2,60.3,57.0,828
0.71,Very Good,D,SI2,61.8,63.0,2279
1.13,Premium,H,SI2,62.3,59.0,4294
1.01,Ideal,G,VS2,62.6,56.0,6964
0.5,Premium,F,SI1,59.6,60.0,1378
1.0,Premium,J,VS2,60.7,61.0,3685
1.0,Very Good,H,SI2,59.1,62.0,3575
0.42,Ideal,J,VS2,61.3,57.0,680
0.39,Premium,H,SI1,62.0,60.0,650
0.51,Very Good,E,SI2,62.0,57.0,1098
0.3,Very Good,H,SI1,62.5,57.0,432
1.07,Premium,H,SI1,59.2,61.0,5237
0.53,Good,E,SI1,63.6,56.0,1156
0.59,Very Good,H,SI2,61.2,60.0,1254
1.5,Ideal,I,VS2,60.0,61.0,9827
0.31,Good,F,SI1,63.2,56.0,512
0.7,Premium,G,VS1,61.0,59.0,2512
0.31,Ideal,E,VS1,60.9,57.0,734
0.71,Premium,H,IF,62.9,60.0,3349
0.36,Ideal,E,SI1,61.6,56.0,810
0.3,Ideal,F,VS2,61.1,55.0,569
0.5,Very Good,F,SI2,62.9,57.0,1020
0.31,Ideal,H,VVS2,62.4,57.0,625
0.33,Ideal,H,VVS1,62.5,56.0,901
0.9,Ideal,E,SI1,61.9,54.0,5373
1.05,Ideal,H,SI2,60.6,57.0,3234
0.57,Premium,J,SI2,62.7,60.0,941
0.5,Ideal,G,VS1,62.0,55.0,1746
0.4,Very Good,F,SI1,61.5,60.0,707
2.1,Fair,G,SI2,65.0,56.0,11923
0.77,Very Good,F,SI2,59.7,57.0,2334
0.4,Premium,D,SI1,59.9,60.0,772
1.2,Premium,G,VVS2,59.7,60.0,9475
0.3,Ideal,E,SI1,61.7,57.0,640
0.9,Good,E,SI2,63.2,57.0,3401
0.42,Ideal,G,VS2,61.2,56.0,1087
0.52,Very Good,D,VS1,62.6,59.0,1860
0.71,Ideal,F,SI2,61.8,57.0,2667
1.04,Premium,F,SI2,62.8,55.0,4321
0.9,Good,J,SI1,64.3,63.0,2832
0.3,Very Good,H,VVS1,62.6,56.0,638
1.02,Premium,G,VS2,61.5,59.0,5346
0.5,Premium,G,VS1,60.7,60.0,1624
0.3,Ideal,I,SI1,61.9,58.0,422
0.43,Ideal,F,VS1,61.9,56.0,774
0.9,Very Good,G,SI1,62.0,58.0,3841
0.85,Ideal,E,SI2,60.1,56.0,3787
1.6,Premium,G,VS2,61.6,60.0,13942
0.72,Ideal,G,VS2,61.4,55.0,2952
1.0,Good,I,SI1,62.9,64.0,3920
1.06,Very Good,G,SI2,61.0,57.0,4769
0.92,Very Good,D,SI2,62.5,59.0,3613
0.75,Good,E,SI1,58.3,60.0,2923
0.44,Ideal,I,VVS2,60.8,56.0,912
0.7,Very Good,E,SI1,63.1,58.0,2643
1.12,Premium,J,SI1,62.3,57.0,4064
0.71,Premium,E,VS2,62.0,61.0,3062
0.55,Premium,F,VS2,62.5,58.0,2376
0.7,Very Good,F,SI2,60.7,58.0,2195
0.32,Ideal,G,VS1,61.3,55.0,551
0.53,Ideal,F,VVS2,62.3,56.0,1943
0.58,Very Good,F,SI1,62.2,57.0,1440
0.41,Premium,E,VS1,62.0,60.0,1153
0.57,Very Good,D,SI2,62.1,58.0,1387
1.1,Ideal,H,SI1,62.5,57.0,4764
0.5,Ideal,E,VS2,62.1,54.0,1746
1.28,Premium,H,SI2,62.0,57.0,6164
0.5,Fair,D,VVS1,65.9,64.0,1792
1.88,Very Good,I,VS2,62.2,57.0,13607
2.0,Good,I,SI2,64.2,52.0,11400
0.76,Ideal,I,VS1,61.5,57.0,2679
0.54,Ideal,D,VS2,61.1,56.0,1993
0.41,Premium,E,SI1,61.5,61.0,904
1.5,Premium,J,VS1,62.0,61.0,7832
1.21,Ideal,E,VS1,62.2,57.0,8348
0.81,Premium,D,SI2,61.7,58.0,2994
0.76,Very Good,E,SI1,60.4,58.0,3261
1.23,Very Good,G,VVS2,60.6,55.0,10004
0.54,Ideal,I,SI2,60.9,57.0,935
1.23,Premium,G,VS2,61.6,58.0,5654
0.57,Premium,F,SI2,60.4,58.0,1247
1.02,Ideal,G,VS2,61.4,55.0,6499
1.7,Premium,G,SI2,61.9,58.0,10472
0.54,Ideal,F,SI1,61.5,55.0,1327
0.35,Ideal,H,VVS1,61.7,56.0,798
1.3,Ideal,G,VS1,62.0,55.0,10221
2.13,Premium,H,SI2,62.3,57.0,17073
1.0,Fair,F,VS2,68.3,58.0,4312
0.35,Ideal,G,VS1,60.6,56.0,706
0.75,Very Good,E,SI1,63.1,56.0,2868
0.44,Ideal,D,VVS1,61.0,57.0,2290
2.38,Very Good,J,VS2,62.6,59.0,16126
0.33,Ideal,G,VS1,62.9,57.0,854
0.4,Ideal,I,VS1,61.9,55.0,919
2.01,Ideal,I,SI1,62.4,54.0,12617
0.58,Ideal,H,IF,60.2,56.0,2233
0.23,Very Good,E,VVS2,61.4,55.0,458
0.34,Ideal,E,SI1,61.7,56.0,596
1.09,Ideal,G,VS2,61.2,56.0,7357
1.01,Good,D,SI1,63.9,61.0,5055
0.42,Ideal,G,VS1,62.7,54.0,921
1.06,Premium,G,SI1,61.5,59.0,5113
0.31,Very Good,G,VS1,62.0,59.0,625
1.31,Very Good,J,SI1,62.3,55.0,5450
0.24,Very Good,F,VVS2,62.2,58.0,552
0.7,Very Good,G,VS1,62.8,57.0,2475
0.57,Premium,E,SI2,61.2,57.0,1414
3.04,Premium,I,SI2,59.3,60.0,18559
0.91,Premium,H,VS2,61.8,60.0,4313
1.11,Premium,E,SI2,61.0,60.0,4177
0.93,Ideal,I,SI1,62.0,57.0,2917
1.25,Ideal,H,SI1,62.2,54.0,7182
2.13,Ideal,H,SI1,62.2,55.0,18275
0.8,Good,F,VS2,60.5,62.3,3283
0.3,Ideal,G,VVS2,60.9,57.0,684
2.05,Premium,E,SI2,59.7,59.0,17237
2.02,Premium,J,SI2,62.1,60.0,11165
0.31,Ideal,D,VS2,62.2,54.0,734
0.32,Ideal,G,VS2,61.8,55.0,720
0.53,Ideal,G,VVS2,61.7,56.0,1948
1.0,Premium,D,VS2,61.2,61.0,6303
0.31,Very Good,E,VVS2,61.1,55.0,766
0.4,Very Good,I,VS1,63.5,55.0,882
0.71,Very Good,F,VVS1,63.3,58.0,3104
0.52,Premium,E,VS2,60.7,58.0,1689
0.71,Ideal,E,VS2,60.3,56.0,3217
0.29,Ideal,E,VVS1,62.7,55.0,669
0.82,Very Good,I,SI1,60.5,58.0,2602
0.55,Very Good,G,VVS2,57.1,63.0,1879
0.33,Ideal,G,VVS1,62.2,57.0,868
0.34,Very Good,E,SI1,59.0,60.0,596
0.95,Very Good,G,VS1,59.9,58.0,5572
0.53,Ideal,D,SI2,61.9,55.0,1314
0.41,Premium,G,VS2,61.7,61.0,1061
0.41,Premium,E,VS1,60.7,59.0,964
0.34,Ideal,E,SI1,61.0,57.0,596
0.39,Ideal,G,VVS2,61.9,56.0,902
0.33,Ideal,G,VS1,61.6,57.0,699
0.36,Premium,I,VS2,61.6,58.0,648
1.65,Premium,G,I1,62.0,59.0,6912
0.4,Good,I,SI1,63.2,55.0,596
0.5,Ideal,D,VS2,61.8,54.0,1628
1.14,Very Good,E,VS1,63.1,59.0,8315
0.26,Premium,E,VVS1,62.3,60.0,599
0.74,Very Good,E,SI1,59.9,56.0,3497
0.42,Premium,G,VS2,59.5,59.0,847
0.71,Good,E,SI1,63.1,59.0,2420
1.2,Very Good,H,SI1,60.8,58.0,6077
0.25,Very Good,D,VVS2,64.2,55.0,512
1.2,Very Good,G,VS2,63.2,56.0,8491
2.0,Fair,H,VS2,65.2,56.0,12765
2.07,Premium,J,VS2,61.5,59.0,13800
0.36,Ideal,H,VS2,61.0,57.0,587
0.51,Good,E,VS2,61.1,65.0,1424
0.3,Ideal,H,IF,60.8,56.0,789
2.18,Very Good,I,SI2,58.9,60.0,15684
1.15,Premium,G,SI1,62.0,58.0,4776
1.09,Very Good,J,VVS1,63.9,56.0,5588
0.32,Premium,H,VVS2,62.2,58.0,602
1.02,Very Good,G,VVS2,63.1,59.0,7942
0.43,Ideal,G,VS1,61.1,56.0,943
0.4,Good,D,SI2,64.0,56.0,775
1.11,Very Good,F,VVS2,60.8,57.0,9792
0.91,Premium,E,SI1,62.5,61.0,4434
0.32,Premium,F,VVS2,62.2,59.0,806
1.2,Very Good,H,SI1,58.9,60.0,6019
1.51,Very Good,E,SI2,61.8,57.0,9731
0.3,Premium,D,SI1,62.4,60.0,709
1.02,Ideal,D,VS1,62.7,55.0,7118
0.4,Ideal,H,SI1,62.6,57.0,855
1.2,Ideal,I,VS2,62.5,56.0,5884
0.7,Very Good,F,SI2,62.9,56.0,2131
0.36,Ideal,D,SI2,62.3,57.0,689
0.73,Ideal,D,VS2,60.7,57.0,4134
1.04,Ideal,E,VVS2,62.9,55.0,10019
0.41,Premium,E,VS1,62.2,57.0,1153
1.5,Very Good,E,SI1,58.6,62.0,10626
0.9,Very Good,G,VVS2,62.6,55.0,4668
0.33,Ideal,E,VVS1,61.7,56.0,1052
0.9,Fair,I,SI1,65.7,58.0,2873
0.33,Very Good,H,VVS2,61.6,56.0,614
0.51,Ideal,F,SI1,61.5,55.0,1580
0.5,Ideal,D,VS2,62.0,56.0,1628
0.32,Ideal,I,VS2,61.3,56.0,449
0.37,Premium,D,SI1,61.0,62.0,874
0.42,Ideal,I,VVS1,62.4,57.0,945
0.52,Premium,G,VS2,62.0,58.0,1577
1.01,Premium,G,VS1,60.5,60.0,6353
1.01,Very Good,F,SI2,60.0,55.0,4425
0.74,Ideal,E,SI1,62.6,56.0,2489
0.76,Ideal,E,SI2,61.5,55.0,2680
0.31,Premium,D,VS2,62.0,59.0,734
0.7,Ideal,I,VS2,61.2,55.0,2249
1.51,Premium,D,VS2,61.7,58.0,15531
0.5,Ideal,D,VS2,61.7,56.0,1844
1.12,Good,F,VS2,63.8,57.0,7051
0.52,Ideal,D,VVS2,61.4,56.0,2302
2.02,Very Good,H,SI1,59.6,59.0,18236
0.51,Very Good,G,VS1,62.7,56.0,1656
0.35,Ideal,E,VVS1,61.8,56.0,967
0.27,Ideal,H,VVS2,62.1,57.0,623
1.21,Good,J,VVS2,63.7,56.0,5028
1.15,Very Good,H,SI2,63.7,56.0,4661
0.3,Ideal,I,VVS1,61.9,57.0,552
0.52,Ideal,G,VVS2,62.4,55.0,2012
0.33,Ideal,G,VS1,61.7,56.0,666
0.38,Very Good,D,SI2,62.1,55.0,633
0.3,Ideal,H,VS1,62.3,55.1,539
0.41,Very Good,F,VS1,60.8,58.0,1007
0.33,Good,E,SI1,63.4,55.0,579
1.01,Ideal,G,VS2,59.6,59.0,6295
1.01,Good,H,SI1,64.0,58.0,4116
2.02,Very Good,H,VS2,62.7,58.0,18398
0.3,Ideal,E,VS2,62.1,55.0,658
1.11,Premium,G,SI1,60.1,60.0,5281
0.52,Very Good,G,VS2,60.2,56.0,1446
0.4,Ideal,G,IF,62.2,55.0,1397
0.41,Ideal,D,SI1,61.0,57.0,1015
2.01,Premium,G,SI2,60.1,60.0,17403
0.3,Good,G,VVS1,63.1,58.0,789
0.4,Ideal,H,VVS2,62.3,57.0,1125
1.71,Ideal,H,VS2,63.0,57.0,10534
1.04,Good,H,SI2,57.9,58.0,4193
0.61,Premium,E,SI2,61.3,59.0,1715
1.13,Very Good,E,SI2,60.3,58.0,5052
1.16,Ideal,I,SI2,62.6,56.0,4478
0.72,Ideal,E,SI2,62.5,55.0,2530
0.33,Premium,E,SI1,62.7,56.0,743
0.41,Ideal,G,SI2,60.9,56.0,810
1.71,Premium,E,SI1,62.2,58.0,14319
0.4,Premium,E,SI1,61.3,59.0,945
1.31,Premium,I,SI1,63.0,57.0,5869
0.33,Ideal,D,SI1,62.5,54.0,608
0.34,Ideal,H,VVS2,61.4,56.0,852
0.31,Premium,I,VS2,59.3,59.0,521
0.72,Ideal,G,VS1,60.3,57.0,3478
0.72,Ideal,F,VS1,61.4,56.0,3759
1.41,Premium,G,VS1,62.1,59.0,11347
0.9,Premium,E,SI1,62.3,56.0,4502
0.77,Ideal,E,SI2,60.7,55.0,2834
1.11,Ideal,G,VVS2,61.8,56.0,9734
0.7,Very Good,I,SI1,63.8,59.0,1890
1.51,Very Good,I,SI1,62.8,59.0,8214
0.6,Ideal,E,SI1,61.5,56.0,1830
0.45,Very Good,G,SI2,59.7,61.0,764
1.02,Premium,D,IF,61.5,60.0,15231
1.01,Ideal,I,VS1,62.5,59.0,5022
0.91,Fair,J,SI1,66.3,56.0,2390
0.32,Ideal,D,VS2,61.3,56.0,719
0.9,Ideal,J,VS1,61.6,55.0,3587
0.9,Ideal,I,SI1,62.3,57.0,3455
0.31,Premium,E,VS1,61.1,58.0,942
0.41,Ideal,G,VVS1,62.5,53.0,1068
0.92,Good,I,SI1,63.3,58.0,3382
0.54,Very Good,F,VS2,58.2,60.0,1551
1.02,Ideal,G,VS2,61.9,53.0,6169
0.81,Ideal,E,SI2,61.8,56.0,3013
1.51,Ideal,I,SI2,61.2,58.0,7362
0.8,Good,F,VS1,63.3,55.0,3116
0.38,Ideal,F,VVS2,62.0,55.0,963
0.83,Ideal,E,SI2,61.3,57.0,3125
0.51,Good,D,SI2,64.2,56.0,1146
0.39,Premium,F,VVS1,59.7,58.0,1290
0.32,Ideal,F,IF,62.2,54.0,943
1.7,Very Good,F,I1,63.1,56.0,5998
1.05,Ideal,G,SI2,62.2,54.0,4667
0.31,Ideal,H,VS2,61.5,57.0,628
0.76,Premium,H,SI2,59.0,59.0,1985
2.01,Very Good,H,VS2,60.7,56.0,18561
0.38,Ideal,F,VVS1,60.9,57.0,1160
1.16,Premium,F,SI2,62.1,59.0,3787
1.17,Premium,F,VS2,62.4,56.0,7568
2.05,Ideal,H,SI2,60.4,58.0,15857
0.3,Very Good,G,VVS2,62.4,56.0,631
0.31,Premium,D,SI2,61.8,60.0,593
0.58,Ideal,F,SI2,60.9,56.0,1776
2.05,Premium,G,SI1,61.6,59.0,15291
0.4,Very Good,G,IF,62.3,59.0,1173
0.6,Ideal,E,VS2,61.2,56.0,2079
1.14,Premium,H,VS2,61.7,60.0,5937
1.04,Very Good,G,VS2,62.8,56.0,6424
0.62,Premium,F,SI1,59.8,60.0,1766
0.96,Fair,H,I1,60.1,62.0,1808
0.31,Ideal,E,VVS1,61.0,57.0,903
1.62,Premium,G,VS2,62.3,58.0,13702
0.31,Ideal,E,VS1,61.3,55.0,800
0.57,Ideal,E,VS1,61.4,57.0,2068
0.33,Ideal,E,VVS1,60.2,57.0,984
2.09,Very Good,F,SI2,60.2,61.0,15773
1.11,Ideal,J,SI2,62.6,54.0,4101
0.53,Ideal,D,VS2,61.8,57.0,1694
0.32,Ideal,H,VS2,62.5,55.0,505
0.38,Ideal,E,IF,61.1,56.0,1433
0.52,Ideal,D,SI1,61.8,56.0,1605
0.9,Good,I,VS1,63.5,61.0,3666
2.0,Premium,H,SI2,61.5,61.0,13134
0.7,Fair,G,VS1,56.2,65.0,2384
0.47,Premium,G,SI1,59.5,60.0,1110
1.24,Fair,H,SI2,65.0,54.0,5208
0.57,Good,D,VS2,58.3,61.0,2015
0.25,Ideal,F,VS1,61.8,56.0,595
0.9,Good,H,VS1,64.1,57.0,4234
0.3,Ideal,E,VS1,60.7,57.0,710
0.33,Ideal,D,VVS2,60.9,57.0,955
0.3,Very Good,D,VS1,62.1,58.0,742
1.12,Ideal,F,VS2,60.9,55.0,6858
0.37,Ideal,D,VS2,61.6,56.0,1124
2.07,Premium,J,VS2,61.5,59.0,13675
0.71,Very Good,I,VS2,62.3,58.0,2052
0.32,Premium,G,SI1,61.6,58.0,612
0.57,Premium,E,SI2,62.5,54.0,1058
1.52,Premium,G,VVS1,60.4,59.0,15959
0.57,Premium,F,SI2,60.7,59.0,1746
0.37,Premium,G,VS2,62.8,60.0,833
0.4,Very Good,E,SI1,61.7,60.0,687
1.01,Premium,H,VS2,61.9,57.0,5260
0.39,Ideal,E,VS2,61.4,56.0,796
1.2,Very Good,I,VVS1,62.6,56.0,7080
1.26,Ideal,H,SI1,61.7,58.0,6476
0.5,Ideal,G,VVS2,61.8,54.0,1766
1.31,Very Good,F,VS1,59.1,60.0,9797
1.01,Ideal,H,VS2,61.9,57.0,5028
2.19,Premium,H,SI1,61.6,58.0,17016
0.41,Very Good,D,VS2,62.8,58.0,779
0.31,Premium,G,VS1,62.1,58.0,802
1.01,Very Good,E,VS2,62.9,58.0,6221
0.4,Good,E,SI2,64.2,57.0,617
2.01,Ideal,H,SI1,61.9,57.0,17403
0.3,Ideal,G,SI1,62.0,57.0,432
1.24,Very Good,I,VS1,59.4,58.0,6754
1.37,Ideal,J,SI2,62.2,55.0,6091
0.44,Ideal,E,VVS2,60.9,57.0,1334
0.23,Very Good,G,VVS2,58.1,59.0,438
0.8,Ideal,G,VS2,61.2,57.0,2969
0.42,Ideal,E,VS2,61.7,56.0,1024
0.4,Premium,F,VS1,60.3,60.0,982
0.58,Premium,E,SI1,62.1,58.0,1812
0.3,Premium,E,VS2,62.1,59.0,844
0.36,Ideal,E,VS1,61.6,57.0,852
0.46,Ideal,G,SI1,62.2,53.4,934
0.53,Ideal,F,VVS1,60.9,57.0,2830
1.37,Very Good,H,VS1,62.0,59.0,9046
1.0,Good,F,VS2,64.2,58.0,5606
0.3,Premium,I,VVS2,61.8,58.0,675
0.44,Very Good,I,VS1,61.9,57.0,813
1.53,Ideal,F,VS1,61.5,59.0,15592
2.01,Premium,J,SI1,60.5,59.0,12369
1.58,Ideal,H,VS1,60.4,57.0,13950
0.52,Premium,F,VS2,62.1,59.0,1600
0.42,Very Good,D,SI2,58.6,58.0,625
0.31,Ideal,I,SI1,62.0,53.0,436
0.59,Premium,G,VS1,62.5,53.0,1991
0.51,Ideal,D,VS2,61.8,55.0,1787
0.71,Ideal,E,VVS1,62.0,56.0,4802
1.08,Ideal,G,SI1,61.8,56.0,5256
0.7,Very Good,E,VS1,61.5,56.0,2967
1.0,Good,G,VS1,63.9,60.0,6187
1.05,Very Good,G,SI1,62.0,56.0,5480
0.6,Very Good,H,VS2,64.2,57.0,1597
0.8,Ideal,D,SI1,62.2,57.0,3011
2.03,Ideal,I,SI2,61.5,54.0,14061
0.72,Ideal,I,VS2,61.7,56.0,2650
0.8,Good,E,VS2,63.4,56.0,3273
0.62,Very Good,I,VS1,61.8,55.0,1818
0.55,Premium,G,VS1,59.4,62.0,1792
1.73,Ideal,F,VS1,62.1,57.0,16131
2.05,Premium,G,SI2,60.1,59.0,16506
2.02,Fair,H,SI1,66.3,57.0,13502
2.47,Ideal,J,SI2,62.1,57.0,15430
0.4,Very Good,F,VS1,60.4,58.0,868
0.3,Premium,G,VVS1,62.8,58.0,1013
1.52,Good,H,SI1,63.8,60.0,10078
0.59,Very Good,G,VS1,62.5,53.0,1942
0.31,Ideal,G,VVS1,61.8,55.0,743
1.35,Very Good,I,SI2,58.6,63.0,5579
0.71,Very Good,H,SI1,64.0,58.0,2141
1.03,Premium,F,SI2,60.7,60.0,4503
0.7,Premium,F,VVS2,62.6,59.0,3105
0.38,Ideal,G,VVS2,62.0,57.0,879
0.9,Ideal,F,VS2,62.7,56.0,4678
0.51,Ideal,E,VS2,62.0,54.0,1662
0.71,Very Good,H,VVS1,62.7,59.0,2938
1.5,Good,I,VS1,57.9,60.0,9828
0.3,Ideal,G,SI1,62.1,53.0,422
0.9,Premium,E,SI2,61.7,57.0,4133
0.23,Ideal,E,VS2,62.6,57.0,423
0.27,Ideal,F,VVS2,60.0,62.0,583
0.5,Ideal,F,SI1,59.9,57.0,1286
1.03,Ideal,D,VVS2,62.0,56.0,9798
2.4,Premium,J,SI1,59.7,58.0,16304
0.72,Ideal,E,SI1,62.0,57.0,2476
1.17,Premium,H,SI2,62.7,56.0,4914
0.3,Ideal,F,SI1,62.4,55.0,475
0.7,Premium,F,SI1,62.2,59.0,2401
0.3,Fair,G,VVS1,58.6,66.0,790
0.51,Premium,G,SI1,62.4,58.0,1312
0.55,Very Good,D,VS2,62.2,60.0,1796
1.2,Ideal,H,SI2,62.6,58.0,5613
0.71,Good,I,SI1,59.9,65.0,2165
0.77,Very Good,J,SI1,62.3,58.0,1807
2.01,Premium,I,SI1,62.4,61.0,15707
1.01,Premium,F,VS2,62.3,58.0,6271
0.41,Premium,G,VS2,59.7,59.0,1061
0.4,Premium,G,VS1,62.2,55.0,1080
0.28,Good,E,IF,64.6,58.0,612
0.37,Ideal,E,VS2,61.6,57.0,811
0.5,Very Good,F,SI1,62.3,60.0,1250
0.35,Very Good,D,SI1,63.0,57.0,644
0.71,Premium,G,SI1,61.2,61.0,2386
0.47,Very Good,E,VS2,62.6,57.0,1320
2.01,Very Good,F,SI2,62.0,54.0,17005
0.66,Very Good,H,VVS1,61.9,59.0,2323
1.02,Ideal,G,I1,61.5,56.0,3382
1.15,Ideal,F,SI2,60.6,58.0,5635
0.32,Ideal,H,VVS1,62.2,56.0,936
1.16,Ideal,D,VS1,61.2,58.0,10241
1.21,Ideal,I,SI2,60.7,56.0,4880
0.41,Premium,F,SI2,60.9,58.0,784
1.73,Ideal,H,SI1,62.7,56.0,11688
1.0,Very Good,H,VS2,63.3,60.0,4514
0.71,Ideal,D,SI2,61.3,57.0,2633
2.02,Very Good,H,SI1,63.4,60.0,17672
0.3,Premium,E,SI1,61.3,60.0,526
0.73,Premium,E,SI1,61.8,59.0,2510
0.7,Ideal,F,VS2,62.0,57.0,2535
2.01,Premium,H,SI1,61.8,58.0,17347
0.35,Good,F,SI2,63.8,56.0,591
0.3,Ideal,E,SI1,61.7,58.0,499
1.03,Good,H,SI2,65.0,57.0,3892
0.57,Ideal,F,VS1,62.6,56.0,2052
1.0,Premium,F,VVS1,61.0,60.0,9724
0.5,Very Good,G,SI1,62.9,59.0,1187
0.7,Ideal,I,SI1,62.1,58.0,2083
1.04,Premium,I,SI1,62.0,57.0,4368
0.72,Ideal,G,SI2,61.8,57.0,1866
0.34,Ideal,I,VS1,61.8,55.0,555
0.37,Premium,I,VVS1,62.4,58.0,874
1.5,Good,G,SI2,63.1,57.0,9116
0.27,Ideal,E,VVS1,62.0,56.0,586
0.31,Ideal,E,SI1,62.7,54.0,698
1.01,Very Good,D,VS1,63.1,58.0,7575
0.52,Ideal,H,SI1,62.3,54.0,1074
0.39,Very Good,F,VVS2,63.5,58.0,1058
1.29,Ideal,E,SI2,62.8,57.0,6473
1.01,Premium,G,VS2,58.5,61.0,6108
0.39,Very Good,H,VS2,60.7,56.0,661
1.23,Premium,G,VS1,59.8,57.0,9574
0.29,Very Good,F,VVS2,60.1,58.0,664
1.01,Good,H,SI1,62.9,55.0,4574
0.54,Premium,G,VS2,60.0,59.0,1637
0.32,Ideal,H,VS1,61.8,55.0,720
2.01,Ideal,H,SI1,61.9,60.0,17892
1.01,Premium,H,VS2,60.5,58.0,4839
1.57,Premium,G,VS2,62.7,60.0,11711
1.52,Premium,H,SI1,62.5,58.0,10078
1.76,Very Good,G,VS1,62.8,55.4,18014
0.5,Fair,F,I1,67.1,57.0,627
1.21,Ideal,H,VVS2,61.1,56.0,9290
0.34,Premium,I,VS2,61.8,58.0,612
2.16,Ideal,J,VS1,61.4,59.0,15714
0.71,Premium,E,VS2,59.0,59.0,2735
0.42,Premium,H,VS1,61.2,60.0,847
1.01,Ideal,G,SI1,62.9,54.0,4672
0.31,Ideal,D,VVS2,61.2,56.0,804
0.67,Ideal,G,VS2,62.5,56.0,2010
0.63,Premium,E,VVS2,62.1,57.0,2789
1.59,Ideal,H,VS1,61.8,56.0,14031
